link,note
https://covid-19.iglocska.eu/events/index/searcheventinfo:disinfo,search for 'disinfo'
https://covid-19.iglocska.eu/events/index/searchtag:2892,search for tag 'disinformation'
https://covid-19.iglocska.eu/events/view/10240,Covid as a hoax
https://covid-19.iglocska.eu/events/view/10305,Plandemic2
https://covid-19.iglocska.eu/events/view/10374,"Kanata - ""covid regulations declared illegal"""
https://covid-19.iglocska.eu/events/view/1179,Hoaxbuster (not us?)
https://covid-19.iglocska.eu/events/view/1184,Plandemic (the first one)
https://covid-19.iglocska.eu/events/view/1185,plandemic related tweets
https://covid-19.iglocska.eu/events/view/1186,plandemic and #filmyourhospital tweets
https://covid-19.iglocska.eu/events/view/1192,"obamagate.  I don't remember entering this one, but it was probably because it was related to the black lives and plandemic rumours"
https://covid-19.iglocska.eu/events/view/1217,news report on russia spreading disinfo in the Netherlands
https://covid-19.iglocska.eu/events/view/1224,article about corona2plus
https://covid-19.iglocska.eu/events/view/1225,HIPAA face mask exemption pass
https://covid-19.iglocska.eu/events/view/1239,"mmscures  - this community only, no data"
https://covid-19.iglocska.eu/events/view/1244,#milesguo
https://covid-19.iglocska.eu/events/view/1251,disinfo around Black Lives Protests
https://covid-19.iglocska.eu/events/view/1253,sorosfundedriots
https://covid-19.iglocska.eu/events/view/1284,face mask exemption card  - went to connected communities.
https://covid-19.iglocska.eu/events/view/1293,Million unmasked march
https://covid-19.iglocska.eu/events/view/470,tracked the poster from wewontstay home back to australia
https://covid-19.iglocska.eu/events/view/481/1/470,map of OperationGridlock
https://covid-19.iglocska.eu/events/view/533/1/470,CSC map of a twitter post related to wewontstayhome
https://covid-19.iglocska.eu/events/view/545,french articles about disinfo (also not us)
https://covid-19.iglocska.eu/events/view/942,deleted?
https://covid-19.iglocska.eu/organisations/view/33,Organisation CogSecCollab