uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category,event_info,event_member_org,event_source_org,event_distribution,event_threat_level_id,event_analysis,event_date,event_tag,event_timestamp
"c7d797c9-7e28-487f-a221-929165dd6020",1184,"Network activity","url","https://twitter.com/plantlady293/status/1262133422912389121","",1,1589831266,"url","","1e4d0994-b5f3-4448-aa66-6ae7b811620e","microblog","misc","plandemic","covid-19","covid-19",3,"High",0,"2020-05-06","current-event:pandemic=""covid-19"",misp-galaxy:amitt-misinformation-pattern=""Create Master Narratives"",misp-galaxy:amitt-misinformation-pattern=""Create fake experts"",misp-galaxy:amitt-misinformation-pattern=""Cultivate useful idiots"",misp-galaxy:amitt-misinformation-pattern=""Clickbait"",misp-galaxy:amitt-misinformation-pattern=""Conspiracy narratives"",misp-galaxy:amitt-misinformation-pattern=""Create fake research"",misp-galaxy:amitt-misinformation-pattern=""Distort facts"",misp-galaxy:amitt-misinformation-pattern=""Generate information pollution"",misp-galaxy:amitt-misinformation-pattern=""Twitter"",misp-galaxy:amitt-misinformation-pattern=""YouTube"",misp-galaxy:amitt-misinformation-pattern=""Facebook"",misp-galaxy:amitt-misinformation-pattern=""Seed distortions"",misp-galaxy:amitt-misinformation-pattern=""Use SMS/ WhatsApp/ Chat apps"",misp-galaxy:amitt-misinformation-pattern=""Use fake experts"",misp-galaxy:amitt-misinformation-pattern=""Flooding"",COVID-19,pandemic:covid-19=""disinformation""",1590716377
"6aff308d-db4c-4431-a7d3-3b64d2299e13",1184,"Network activity","url","https://twitter.com/plantlady293/status/1262133422912389121/photo/1","",1,1589831266,"embedded-link","","1e4d0994-b5f3-4448-aa66-6ae7b811620e","microblog","misc","plandemic","covid-19","covid-19",3,"High",0,"2020-05-06","current-event:pandemic=""covid-19"",misp-galaxy:amitt-misinformation-pattern=""Create Master Narratives"",misp-galaxy:amitt-misinformation-pattern=""Create fake experts"",misp-galaxy:amitt-misinformation-pattern=""Cultivate useful idiots"",misp-galaxy:amitt-misinformation-pattern=""Clickbait"",misp-galaxy:amitt-misinformation-pattern=""Conspiracy narratives"",misp-galaxy:amitt-misinformation-pattern=""Create fake research"",misp-galaxy:amitt-misinformation-pattern=""Distort facts"",misp-galaxy:amitt-misinformation-pattern=""Generate information pollution"",misp-galaxy:amitt-misinformation-pattern=""Twitter"",misp-galaxy:amitt-misinformation-pattern=""YouTube"",misp-galaxy:amitt-misinformation-pattern=""Facebook"",misp-galaxy:amitt-misinformation-pattern=""Seed distortions"",misp-galaxy:amitt-misinformation-pattern=""Use SMS/ WhatsApp/ Chat apps"",misp-galaxy:amitt-misinformation-pattern=""Use fake experts"",misp-galaxy:amitt-misinformation-pattern=""Flooding"",COVID-19,pandemic:covid-19=""disinformation""",1590716377
"265fbcc0-2a00-4dee-83a3-c02714e43010",1184,"Network activity","url","https://t.co/ccPvEh7hdz","",1,1589831266,"embedded-link","","1e4d0994-b5f3-4448-aa66-6ae7b811620e","microblog","misc","plandemic","covid-19","covid-19",3,"High",0,"2020-05-06","current-event:pandemic=""covid-19"",misp-galaxy:amitt-misinformation-pattern=""Create Master Narratives"",misp-galaxy:amitt-misinformation-pattern=""Create fake experts"",misp-galaxy:amitt-misinformation-pattern=""Cultivate useful idiots"",misp-galaxy:amitt-misinformation-pattern=""Clickbait"",misp-galaxy:amitt-misinformation-pattern=""Conspiracy narratives"",misp-galaxy:amitt-misinformation-pattern=""Create fake research"",misp-galaxy:amitt-misinformation-pattern=""Distort facts"",misp-galaxy:amitt-misinformation-pattern=""Generate information pollution"",misp-galaxy:amitt-misinformation-pattern=""Twitter"",misp-galaxy:amitt-misinformation-pattern=""YouTube"",misp-galaxy:amitt-misinformation-pattern=""Facebook"",misp-galaxy:amitt-misinformation-pattern=""Seed distortions"",misp-galaxy:amitt-misinformation-pattern=""Use SMS/ WhatsApp/ Chat apps"",misp-galaxy:amitt-misinformation-pattern=""Use fake experts"",misp-galaxy:amitt-misinformation-pattern=""Flooding"",COVID-19,pandemic:covid-19=""disinformation""",1590716377
"c004d186-9731-41bf-947b-8af9bee41e69",1184,"Network activity","url","https://twitter.com/ARedPillReport/status/1262143458875228160","",1,1589831290,"url","","92ad79af-e593-40e5-a4b8-77e2b79fa30c","microblog","misc","plandemic","covid-19","covid-19",3,"High",0,"2020-05-06","current-event:pandemic=""covid-19"",misp-galaxy:amitt-misinformation-pattern=""Create Master Narratives"",misp-galaxy:amitt-misinformation-pattern=""Create fake experts"",misp-galaxy:amitt-misinformation-pattern=""Cultivate useful idiots"",misp-galaxy:amitt-misinformation-pattern=""Clickbait"",misp-galaxy:amitt-misinformation-pattern=""Conspiracy narratives"",misp-galaxy:amitt-misinformation-pattern=""Create fake research"",misp-galaxy:amitt-misinformation-pattern=""Distort facts"",misp-galaxy:amitt-misinformation-pattern=""Generate information pollution"",misp-galaxy:amitt-misinformation-pattern=""Twitter"",misp-galaxy:amitt-misinformation-pattern=""YouTube"",misp-galaxy:amitt-misinformation-pattern=""Facebook"",misp-galaxy:amitt-misinformation-pattern=""Seed distortions"",misp-galaxy:amitt-misinformation-pattern=""Use SMS/ WhatsApp/ Chat apps"",misp-galaxy:amitt-misinformation-pattern=""Use fake experts"",misp-galaxy:amitt-misinformation-pattern=""Flooding"",COVID-19,pandemic:covid-19=""disinformation""",1590716377
"bee59362-b2a8-4e1a-bc59-5a1d5fdfb06c",1184,"Network activity","url","https://flip.it/qX85SD","",1,1589831290,"embedded-link","","92ad79af-e593-40e5-a4b8-77e2b79fa30c","microblog","misc","plandemic","covid-19","covid-19",3,"High",0,"2020-05-06","current-event:pandemic=""covid-19"",misp-galaxy:amitt-misinformation-pattern=""Create Master Narratives"",misp-galaxy:amitt-misinformation-pattern=""Create fake experts"",misp-galaxy:amitt-misinformation-pattern=""Cultivate useful idiots"",misp-galaxy:amitt-misinformation-pattern=""Clickbait"",misp-galaxy:amitt-misinformation-pattern=""Conspiracy narratives"",misp-galaxy:amitt-misinformation-pattern=""Create fake research"",misp-galaxy:amitt-misinformation-pattern=""Distort facts"",misp-galaxy:amitt-misinformation-pattern=""Generate information pollution"",misp-galaxy:amitt-misinformation-pattern=""Twitter"",misp-galaxy:amitt-misinformation-pattern=""YouTube"",misp-galaxy:amitt-misinformation-pattern=""Facebook"",misp-galaxy:amitt-misinformation-pattern=""Seed distortions"",misp-galaxy:amitt-misinformation-pattern=""Use SMS/ WhatsApp/ Chat apps"",misp-galaxy:amitt-misinformation-pattern=""Use fake experts"",misp-galaxy:amitt-misinformation-pattern=""Flooding"",COVID-19,pandemic:covid-19=""disinformation""",1590716377
"3c1dba3b-bfe2-4897-a125-1673159690b2",1184,"Network activity","url","https://t.co/EChMzTeh1O","",1,1589831290,"embedded-link","","92ad79af-e593-40e5-a4b8-77e2b79fa30c","microblog","misc","plandemic","covid-19","covid-19",3,"High",0,"2020-05-06","current-event:pandemic=""covid-19"",misp-galaxy:amitt-misinformation-pattern=""Create Master Narratives"",misp-galaxy:amitt-misinformation-pattern=""Create fake experts"",misp-galaxy:amitt-misinformation-pattern=""Cultivate useful idiots"",misp-galaxy:amitt-misinformation-pattern=""Clickbait"",misp-galaxy:amitt-misinformation-pattern=""Conspiracy narratives"",misp-galaxy:amitt-misinformation-pattern=""Create fake research"",misp-galaxy:amitt-misinformation-pattern=""Distort facts"",misp-galaxy:amitt-misinformation-pattern=""Generate information pollution"",misp-galaxy:amitt-misinformation-pattern=""Twitter"",misp-galaxy:amitt-misinformation-pattern=""YouTube"",misp-galaxy:amitt-misinformation-pattern=""Facebook"",misp-galaxy:amitt-misinformation-pattern=""Seed distortions"",misp-galaxy:amitt-misinformation-pattern=""Use SMS/ WhatsApp/ Chat apps"",misp-galaxy:amitt-misinformation-pattern=""Use fake experts"",misp-galaxy:amitt-misinformation-pattern=""Flooding"",COVID-19,pandemic:covid-19=""disinformation""",1590716377
"cd97b4f2-ed19-4593-b926-4d5bf5cd0d6f",1184,"Network activity","url","https://twitter.com/HenryMakow/status/1261980711298445317","",1,1589831506,"url","","00154e60-4dcc-43f3-927d-d18354e53d0d","microblog","misc","plandemic","covid-19","covid-19",3,"High",0,"2020-05-06","current-event:pandemic=""covid-19"",misp-galaxy:amitt-misinformation-pattern=""Create Master Narratives"",misp-galaxy:amitt-misinformation-pattern=""Create fake experts"",misp-galaxy:amitt-misinformation-pattern=""Cultivate useful idiots"",misp-galaxy:amitt-misinformation-pattern=""Clickbait"",misp-galaxy:amitt-misinformation-pattern=""Conspiracy narratives"",misp-galaxy:amitt-misinformation-pattern=""Create fake research"",misp-galaxy:amitt-misinformation-pattern=""Distort facts"",misp-galaxy:amitt-misinformation-pattern=""Generate information pollution"",misp-galaxy:amitt-misinformation-pattern=""Twitter"",misp-galaxy:amitt-misinformation-pattern=""YouTube"",misp-galaxy:amitt-misinformation-pattern=""Facebook"",misp-galaxy:amitt-misinformation-pattern=""Seed distortions"",misp-galaxy:amitt-misinformation-pattern=""Use SMS/ WhatsApp/ Chat apps"",misp-galaxy:amitt-misinformation-pattern=""Use fake experts"",misp-galaxy:amitt-misinformation-pattern=""Flooding"",COVID-19,pandemic:covid-19=""disinformation""",1590716377
"46386345-8987-440a-8656-bf68f609a0b6",1184,"Network activity","url","https://www.youtube.com/watch?v=ynCYggioBLc","",1,1589831506,"embedded-link","","00154e60-4dcc-43f3-927d-d18354e53d0d","microblog","misc","plandemic","covid-19","covid-19",3,"High",0,"2020-05-06","current-event:pandemic=""covid-19"",misp-galaxy:amitt-misinformation-pattern=""Create Master Narratives"",misp-galaxy:amitt-misinformation-pattern=""Create fake experts"",misp-galaxy:amitt-misinformation-pattern=""Cultivate useful idiots"",misp-galaxy:amitt-misinformation-pattern=""Clickbait"",misp-galaxy:amitt-misinformation-pattern=""Conspiracy narratives"",misp-galaxy:amitt-misinformation-pattern=""Create fake research"",misp-galaxy:amitt-misinformation-pattern=""Distort facts"",misp-galaxy:amitt-misinformation-pattern=""Generate information pollution"",misp-galaxy:amitt-misinformation-pattern=""Twitter"",misp-galaxy:amitt-misinformation-pattern=""YouTube"",misp-galaxy:amitt-misinformation-pattern=""Facebook"",misp-galaxy:amitt-misinformation-pattern=""Seed distortions"",misp-galaxy:amitt-misinformation-pattern=""Use SMS/ WhatsApp/ Chat apps"",misp-galaxy:amitt-misinformation-pattern=""Use fake experts"",misp-galaxy:amitt-misinformation-pattern=""Flooding"",COVID-19,pandemic:covid-19=""disinformation""",1590716377
"fcd36861-d646-4cb7-a42d-bcce7e3d6317",1184,"Network activity","url","https://florence9.loader.to/api/get.php?id=a659d95aedbd108bb630fcce752","",1,1589831506,"embedded-link","","00154e60-4dcc-43f3-927d-d18354e53d0d","microblog","misc","plandemic","covid-19","covid-19",3,"High",0,"2020-05-06","current-event:pandemic=""covid-19"",misp-galaxy:amitt-misinformation-pattern=""Create Master Narratives"",misp-galaxy:amitt-misinformation-pattern=""Create fake experts"",misp-galaxy:amitt-misinformation-pattern=""Cultivate useful idiots"",misp-galaxy:amitt-misinformation-pattern=""Clickbait"",misp-galaxy:amitt-misinformation-pattern=""Conspiracy narratives"",misp-galaxy:amitt-misinformation-pattern=""Create fake research"",misp-galaxy:amitt-misinformation-pattern=""Distort facts"",misp-galaxy:amitt-misinformation-pattern=""Generate information pollution"",misp-galaxy:amitt-misinformation-pattern=""Twitter"",misp-galaxy:amitt-misinformation-pattern=""YouTube"",misp-galaxy:amitt-misinformation-pattern=""Facebook"",misp-galaxy:amitt-misinformation-pattern=""Seed distortions"",misp-galaxy:amitt-misinformation-pattern=""Use SMS/ WhatsApp/ Chat apps"",misp-galaxy:amitt-misinformation-pattern=""Use fake experts"",misp-galaxy:amitt-misinformation-pattern=""Flooding"",COVID-19,pandemic:covid-19=""disinformation""",1590716377
"c25075bc-61f4-408e-b83c-f96f56672413",1184,"Network activity","url","https://t.co/BGkNToViZP","",1,1589831506,"embedded-link","","00154e60-4dcc-43f3-927d-d18354e53d0d","microblog","misc","plandemic","covid-19","covid-19",3,"High",0,"2020-05-06","current-event:pandemic=""covid-19"",misp-galaxy:amitt-misinformation-pattern=""Create Master Narratives"",misp-galaxy:amitt-misinformation-pattern=""Create fake experts"",misp-galaxy:amitt-misinformation-pattern=""Cultivate useful idiots"",misp-galaxy:amitt-misinformation-pattern=""Clickbait"",misp-galaxy:amitt-misinformation-pattern=""Conspiracy narratives"",misp-galaxy:amitt-misinformation-pattern=""Create fake research"",misp-galaxy:amitt-misinformation-pattern=""Distort facts"",misp-galaxy:amitt-misinformation-pattern=""Generate information pollution"",misp-galaxy:amitt-misinformation-pattern=""Twitter"",misp-galaxy:amitt-misinformation-pattern=""YouTube"",misp-galaxy:amitt-misinformation-pattern=""Facebook"",misp-galaxy:amitt-misinformation-pattern=""Seed distortions"",misp-galaxy:amitt-misinformation-pattern=""Use SMS/ WhatsApp/ Chat apps"",misp-galaxy:amitt-misinformation-pattern=""Use fake experts"",misp-galaxy:amitt-misinformation-pattern=""Flooding"",COVID-19,pandemic:covid-19=""disinformation""",1590716377
"744b4876-fee1-412c-89c9-038426cb26f4",1184,"Network activity","url","https://t.co/N8cHnB3djD","",1,1589831506,"embedded-link","","00154e60-4dcc-43f3-927d-d18354e53d0d","microblog","misc","plandemic","covid-19","covid-19",3,"High",0,"2020-05-06","current-event:pandemic=""covid-19"",misp-galaxy:amitt-misinformation-pattern=""Create Master Narratives"",misp-galaxy:amitt-misinformation-pattern=""Create fake experts"",misp-galaxy:amitt-misinformation-pattern=""Cultivate useful idiots"",misp-galaxy:amitt-misinformation-pattern=""Clickbait"",misp-galaxy:amitt-misinformation-pattern=""Conspiracy narratives"",misp-galaxy:amitt-misinformation-pattern=""Create fake research"",misp-galaxy:amitt-misinformation-pattern=""Distort facts"",misp-galaxy:amitt-misinformation-pattern=""Generate information pollution"",misp-galaxy:amitt-misinformation-pattern=""Twitter"",misp-galaxy:amitt-misinformation-pattern=""YouTube"",misp-galaxy:amitt-misinformation-pattern=""Facebook"",misp-galaxy:amitt-misinformation-pattern=""Seed distortions"",misp-galaxy:amitt-misinformation-pattern=""Use SMS/ WhatsApp/ Chat apps"",misp-galaxy:amitt-misinformation-pattern=""Use fake experts"",misp-galaxy:amitt-misinformation-pattern=""Flooding"",COVID-19,pandemic:covid-19=""disinformation""",1590716377
"ed686245-f70f-4d40-8701-d0a5f49d62c7",1184,"Network activity","url","https://twitter.com/prayingmedic/status/1262006893939060738","",1,1589831564,"url","","b59cfb1d-129f-46c2-afd0-5ec8e37fac90","microblog","misc","plandemic","covid-19","covid-19",3,"High",0,"2020-05-06","current-event:pandemic=""covid-19"",misp-galaxy:amitt-misinformation-pattern=""Create Master Narratives"",misp-galaxy:amitt-misinformation-pattern=""Create fake experts"",misp-galaxy:amitt-misinformation-pattern=""Cultivate useful idiots"",misp-galaxy:amitt-misinformation-pattern=""Clickbait"",misp-galaxy:amitt-misinformation-pattern=""Conspiracy narratives"",misp-galaxy:amitt-misinformation-pattern=""Create fake research"",misp-galaxy:amitt-misinformation-pattern=""Distort facts"",misp-galaxy:amitt-misinformation-pattern=""Generate information pollution"",misp-galaxy:amitt-misinformation-pattern=""Twitter"",misp-galaxy:amitt-misinformation-pattern=""YouTube"",misp-galaxy:amitt-misinformation-pattern=""Facebook"",misp-galaxy:amitt-misinformation-pattern=""Seed distortions"",misp-galaxy:amitt-misinformation-pattern=""Use SMS/ WhatsApp/ Chat apps"",misp-galaxy:amitt-misinformation-pattern=""Use fake experts"",misp-galaxy:amitt-misinformation-pattern=""Flooding"",COVID-19,pandemic:covid-19=""disinformation""",1590716377
"962e228c-0eae-4f3f-972b-a8b7ed897344",1184,"Network activity","url","https://twitter.com/Acyn/status/1261829390951788544/video/1","",1,1589831564,"embedded-link","","b59cfb1d-129f-46c2-afd0-5ec8e37fac90","microblog","misc","plandemic","covid-19","covid-19",3,"High",0,"2020-05-06","current-event:pandemic=""covid-19"",misp-galaxy:amitt-misinformation-pattern=""Create Master Narratives"",misp-galaxy:amitt-misinformation-pattern=""Create fake experts"",misp-galaxy:amitt-misinformation-pattern=""Cultivate useful idiots"",misp-galaxy:amitt-misinformation-pattern=""Clickbait"",misp-galaxy:amitt-misinformation-pattern=""Conspiracy narratives"",misp-galaxy:amitt-misinformation-pattern=""Create fake research"",misp-galaxy:amitt-misinformation-pattern=""Distort facts"",misp-galaxy:amitt-misinformation-pattern=""Generate information pollution"",misp-galaxy:amitt-misinformation-pattern=""Twitter"",misp-galaxy:amitt-misinformation-pattern=""YouTube"",misp-galaxy:amitt-misinformation-pattern=""Facebook"",misp-galaxy:amitt-misinformation-pattern=""Seed distortions"",misp-galaxy:amitt-misinformation-pattern=""Use SMS/ WhatsApp/ Chat apps"",misp-galaxy:amitt-misinformation-pattern=""Use fake experts"",misp-galaxy:amitt-misinformation-pattern=""Flooding"",COVID-19,pandemic:covid-19=""disinformation""",1590716377
"3698ad5b-5abd-48e1-8f6c-87c9dbfa5575",1184,"Network activity","url","https://t.co/thZThN2lLL","",1,1589831564,"embedded-link","","b59cfb1d-129f-46c2-afd0-5ec8e37fac90","microblog","misc","plandemic","covid-19","covid-19",3,"High",0,"2020-05-06","current-event:pandemic=""covid-19"",misp-galaxy:amitt-misinformation-pattern=""Create Master Narratives"",misp-galaxy:amitt-misinformation-pattern=""Create fake experts"",misp-galaxy:amitt-misinformation-pattern=""Cultivate useful idiots"",misp-galaxy:amitt-misinformation-pattern=""Clickbait"",misp-galaxy:amitt-misinformation-pattern=""Conspiracy narratives"",misp-galaxy:amitt-misinformation-pattern=""Create fake research"",misp-galaxy:amitt-misinformation-pattern=""Distort facts"",misp-galaxy:amitt-misinformation-pattern=""Generate information pollution"",misp-galaxy:amitt-misinformation-pattern=""Twitter"",misp-galaxy:amitt-misinformation-pattern=""YouTube"",misp-galaxy:amitt-misinformation-pattern=""Facebook"",misp-galaxy:amitt-misinformation-pattern=""Seed distortions"",misp-galaxy:amitt-misinformation-pattern=""Use SMS/ WhatsApp/ Chat apps"",misp-galaxy:amitt-misinformation-pattern=""Use fake experts"",misp-galaxy:amitt-misinformation-pattern=""Flooding"",COVID-19,pandemic:covid-19=""disinformation""",1590716377
